nome,genero,blood_status,profissao,casa,patrono,elemento_preferido,animal_preferido,cor,coragem,ambicao,inteligencia,lealdade,determinacao,justica,criatividade,coragem_moral,cautela,lealdade_a_amigos,competitividade,individualismo,cooperacao,fama_reconhecimento,pertencimento_comunidade,pensamento_analitico,intuicao,estrategia,impulsividade,autocontrole,empatia,etica,pragmatismo,lideranca,leitura_de_pessoas,persistencia,humildade,orgulho,busca_por_proposito_pessoal,identidade_forte
Natasha Price,Masculino,Nascido-Trouxa,Lojista,Gryffindor,Texugo,Fogo,Fênix,Dourado,9,6,8,6,5,2,1,7,3,7,7,5,4,9,5,7,7,4,8,6,3,9,3,6,6,8,6,1,8,10
Cheryl Smith,Não-Binário,Nascido-Trouxa,Auror,Gryffindor,Cavalo,Fogo,Fênix,Dourado,7,7,8,7,7,3,10,8,3,8,8,1,6,1,10,4,2,6,6,6,9,4,4,8,6,7,7,6,10,7
Matthew Shaw-Pratt,Não-Binário,Nascido-Trouxa,Fabricante de Varinhas,Ravenclaw,Doninha,Ar,Furão,Azul,4,7,8,6,9,2,9,1,8,7,6,8,7,9,3,10,10,8,5,2,3,1,6,2,9,5,9,2,7,3
Elliot Harvey,Não-Binário,Nascido-Trouxa,Herbologista,Ravenclaw,Doninha,Ar,Coruja,Azul,5,7,9,6,2,6,7,6,9,6,8,7,4,7,6,9,8,5,2,8,3,5,8,7,9,1,5,7,7,8
Joe Thompson,Não-Binário,Mestiço,Desempregado(a),Hufflepuff,Urso,Terra,Hipogrifo,Preto,6,3,6,10,4,9,3,6,10,10,5,5,7,8,9,8,9,7,7,3,9,10,1,3,4,10,10,3,5,7
Dr Alexander Hill,Masculino,Nascido-Trouxa,Jornalista,Ravenclaw,Indeterminado,Ar,Hipogrifo,Azul,3,6,8,6,3,9,10,1,6,6,9,9,6,5,2,8,9,6,5,10,9,2,9,4,9,1,1,5,9,6
Ms Beth Abbott,Masculino,Puro-Sangue,Professor(a),Ravenclaw,Cervo,Ar,Rato,Bronze,5,9,10,4,10,9,7,7,8,7,10,6,4,5,6,9,6,9,1,6,3,6,8,3,6,2,8,8,8,8
Kerry Long,Não-Binário,Puro-Sangue,Membro da Suprema Corte,Gryffindor,Texugo,Fogo,Coruja,Vermelho,8,3,7,10,9,3,3,10,3,6,5,6,4,1,7,4,10,2,6,3,1,7,5,8,7,7,1,9,8,2
Joanna Webster,Não-Binário,Puro-Sangue,Lojista,Slytherin,Salmão,Água,Coruja,Prata,9,10,9,6,10,4,7,9,6,10,10,9,6,5,3,9,4,10,3,10,4,9,6,9,10,1,3,10,6,7
Jodie Atkins,Masculino,Puro-Sangue,Tratador(a) de Criaturas Mágicas,Slytherin,Cavalo,Água,Cachorro,Verde,5,9,5,4,10,4,4,5,8,2,10,8,5,6,7,3,1,7,4,8,4,4,10,8,8,7,3,8,7,5
Danielle Roberts,Masculino,Mestiço,Lojista,Gryffindor,Salmão,Fogo,Furão,Dourado,8,6,5,7,8,10,9,9,3,8,6,8,2,6,4,8,1,3,6,5,6,6,3,9,9,2,8,6,4,6
Diane Hopkins,Feminino,Nascido-Trouxa,Pesquisador(a),Hufflepuff,Doninha,Terra,Fênix,Preto,1,3,6,8,8,9,5,9,4,9,4,2,7,5,9,10,10,5,10,3,8,8,10,5,1,6,6,6,5,8
Mrs Abigail Walker,Não-Binário,Nascido-Trouxa,Curandeiro(a),Gryffindor,Cervo,Fogo,Sapo,Vermelho,10,7,7,5,5,6,4,8,3,8,5,5,5,5,1,9,9,4,10,6,7,2,4,6,9,9,5,8,9,5
Dr Clifford Davis,Feminino,Nascido-Trouxa,Professor(a),Gryffindor,Urso,Ar,Coruja,Vermelho,10,7,6,2,6,5,3,7,3,7,7,6,5,5,1,8,2,5,10,8,4,5,5,9,8,2,4,8,3,1
Lynn Smith,Não-Binário,Nascido-Trouxa,Medibruxo(a),Gryffindor,Indeterminado,Fogo,Serpente,Vermelho,9,5,4,10,6,10,2,9,4,6,6,5,6,2,10,7,2,2,9,5,1,10,4,9,5,7,10,10,3,4
Timothy White,Não-Binário,Puro-Sangue,Jornalista,Ravenclaw,Lebre,Ar,Fênix,Bronze,4,4,10,10,3,4,10,1,5,1,9,9,5,2,5,8,9,5,4,5,5,4,3,2,8,5,7,2,9,10
Marion Lewis,Masculino,Nascido-Trouxa,Professor(a),Gryffindor,Lobo,Ar,Coruja,Vermelho,10,6,7,3,7,3,10,9,1,8,6,8,7,8,2,10,10,4,10,2,4,3,5,9,2,9,3,3,10,10
Ross Lawrence,Não-Binário,Mestiço,Lojista,Gryffindor,Cisne,Fogo,Serpente,Vermelho,10,6,7,7,5,6,5,9,2,9,7,1,7,6,2,1,6,2,7,5,1,2,2,7,4,1,6,1,6,1
Matthew Chamberlain,Masculino,Nascido-Trouxa,Estudante,Ravenclaw,Lontra,Ar,Rato,Azul,6,6,8,5,3,8,7,9,9,10,10,6,4,1,5,8,10,8,1,6,3,8,9,5,5,2,10,9,7,9
Wayne Bradshaw,Não-Binário,Mestiço,Pocionista,Slytherin,Cervo,Água,Coruja,Verde,1,10,8,4,7,5,8,1,2,5,10,8,3,10,8,2,4,10,8,6,1,3,9,9,10,1,2,9,8,10
Dr Julie Davis,Masculino,Nascido-Trouxa,Desempregado(a),Hufflepuff,Fênix,Terra,Dragão (miniatura),Amarelo,2,2,9,8,1,10,8,9,8,9,2,4,7,5,8,4,2,7,5,4,10,7,3,6,2,9,10,5,7,7
Maureen Smith,Masculino,Mestiço,Lojista,Gryffindor,Texugo,Fogo,Fênix,Dourado,8,4,5,1,9,5,9,9,2,8,8,8,4,1,10,6,7,2,8,6,7,7,1,6,8,7,4,3,7,6
Mrs Mary Moss,Não-Binário,Puro-Sangue,Auror,Hufflepuff,Cervo,Fogo,Amasso (Kneazle),Preto,6,1,9,10,10,7,9,1,9,10,4,5,9,5,7,4,9,6,6,1,8,10,4,6,3,8,6,2,8,8
Jayne McCarthy,Feminino,Puro-Sangue,Desempregado(a),Hufflepuff,Cão,Terra,Hipogrifo,Amarelo,4,4,9,10,8,10,4,10,4,10,2,3,9,2,10,6,3,7,5,9,10,8,2,5,5,6,9,6,3,8
Mr Neil Wright,Masculino,Mestiço,Fabricante de Varinhas,Hufflepuff,Urso,Terra,Sapo,Amarelo,1,4,2,8,10,10,9,8,10,9,4,2,10,10,7,1,2,4,8,10,10,8,10,3,9,7,6,3,7,8
Philip Collins,Não-Binário,Nascido-Trouxa,Inominável,Slytherin,Lebre,Terra,Rato,Verde,5,10,6,6,9,5,1,4,7,2,8,10,3,10,3,8,8,8,8,8,1,8,8,6,2,3,2,7,4,9
Linda Kaur-Shah,Masculino,Mestiço,Pocionista,Gryffindor,Lobo,Fogo,Sapo,Vermelho,10,4,6,3,6,1,10,7,2,6,4,9,5,8,10,8,1,4,9,3,10,8,3,5,1,5,10,10,6,2
Gail Sharp,Não-Binário,Mestiço,Herbologista,Slytherin,Lobo,Água,Amasso (Kneazle),Verde,2,10,3,3,8,3,6,10,7,9,9,10,5,8,9,4,10,9,7,6,2,8,6,10,1,5,2,8,7,4
Mr Patrick Saunders,Masculino,Nascido-Trouxa,Desempregado(a),Gryffindor,Indeterminado,Fogo,Dragão (miniatura),Vermelho,10,3,6,7,8,2,10,8,3,8,8,6,6,3,6,9,5,3,9,7,2,6,3,5,7,6,4,5,10,9
Emma Sutton,Masculino,Mestiço,Tratador(a) de Criaturas Mágicas,Gryffindor,Salmão,Ar,Sapo,Vermelho,9,7,8,9,6,3,7,9,1,8,4,5,5,6,5,7,8,4,9,5,4,7,1,5,6,6,7,1,6,6
Melissa Jones,Não-Binário,Puro-Sangue,Inominável,Ravenclaw,Fênix,Ar,Serpente,Azul,4,8,8,4,2,9,10,3,6,5,3,8,5,3,3,8,6,9,3,2,5,9,5,5,9,3,8,3,10,1
Katy Miller,Não-Binário,Mestiço,Funcionário(a) do Ministério,Hufflepuff,Indeterminado,Terra,Fênix,Preto,1,4,9,9,10,8,10,5,5,10,2,3,7,6,7,7,4,3,5,1,8,8,3,6,3,10,8,3,9,9
Catherine Baker,Feminino,Puro-Sangue,Jornalista,Gryffindor,Texugo,Fogo,Fênix,Vermelho,7,5,7,7,5,4,10,7,3,9,8,6,4,5,4,6,3,4,9,7,8,5,3,5,1,10,8,2,6,2
Jessica Pearce,Feminino,Puro-Sangue,Pesquisador(a),Slytherin,Raposa,Água,Mini-pufe,Verde,1,9,9,5,8,3,10,3,7,2,10,9,5,1,9,3,3,7,10,10,2,6,9,7,4,6,2,8,6,9
Dr Ronald Connolly,Feminino,Nascido-Trouxa,Herbologista,Gryffindor,Salmão,Fogo,Coruja,Vermelho,10,6,6,10,5,6,4,10,2,7,8,3,1,3,4,1,8,3,10,2,9,3,3,7,7,4,2,7,2,1
June Charlton,Masculino,Nascido-Trouxa,Medibruxo(a),Gryffindor,Texugo,Fogo,Dragão (miniatura),Dourado,9,6,6,6,6,6,6,8,2,9,6,7,5,3,6,8,6,3,7,6,4,2,3,7,9,8,9,4,3,2
Abdul Griffiths-Read,Feminino,Mestiço,Fabricante de Varinhas,Hufflepuff,Indeterminado,Terra,Hipogrifo,Preto,7,1,3,8,10,7,9,9,2,10,4,5,7,5,10,10,6,3,5,9,9,9,5,6,4,8,8,6,2,4
Mr Malcolm Collier,Não-Binário,Nascido-Trouxa,Inominável,Gryffindor,Cervo,Fogo,Pomo,Vermelho,10,4,8,9,5,9,7,10,2,9,8,7,1,2,9,9,8,3,9,4,1,10,5,6,1,10,6,3,5,2
Daniel Hancock-Dunn,Masculino,Nascido-Trouxa,Herbologista,Gryffindor,Lebre,Fogo,Rato,Dourado,9,6,7,10,5,5,9,9,2,8,5,10,2,5,1,6,9,5,8,10,4,10,4,6,2,1,8,3,4,2
Emma Hill,Feminino,Mestiço,Curandeiro(a),Hufflepuff,Lontra,Terra,Testrálio,Amarelo,2,4,9,8,6,10,2,10,2,9,3,3,9,6,8,3,4,5,6,6,9,8,8,3,3,7,6,4,8,2
Mrs Joyce Evans,Não-Binário,Nascido-Trouxa,Jornalista,Gryffindor,Lontra,Fogo,Hipogrifo,Dourado,7,4,4,9,9,2,4,10,2,6,5,6,4,4,4,4,9,5,6,3,1,4,3,8,7,2,4,2,2,1
Billy Lowe,Feminino,Nascido-Trouxa,Desempregado(a),Hufflepuff,Texugo,Terra,Serpente,Amarelo,3,4,4,8,9,10,1,6,10,10,5,3,8,5,8,9,8,3,6,7,9,8,1,3,2,10,6,3,5,3
Sam Ryan-Barton,Masculino,Mestiço,Tratador(a) de Criaturas Mágicas,Ravenclaw,Cavalo,Ar,Cachorro,Azul,5,10,10,1,10,4,7,2,6,4,3,7,4,7,5,8,9,9,2,8,3,3,5,9,9,5,2,4,8,5
Dr Joanna Evans,Não-Binário,Mestiço,Estudante,Hufflepuff,Águia,Terra,Hipogrifo,Preto,6,5,10,9,3,7,9,7,2,10,2,3,8,6,9,5,4,3,6,10,10,8,3,3,9,10,8,2,9,4
Frank Hamilton,Não-Binário,Nascido-Trouxa,Fabricante de Varinhas,Slytherin,Lebre,Água,Pomo,Verde,7,9,7,5,8,4,5,6,4,5,9,10,4,5,9,4,2,7,1,8,1,5,10,7,3,9,1,10,5,7
Tony Sutton,Masculino,Mestiço,Professor(a),Hufflepuff,Águia,Terra,Hipogrifo,Amarelo,4,2,2,9,5,8,7,4,1,9,1,2,7,7,9,1,2,7,10,8,8,7,7,3,7,6,6,3,3,8
Jennifer Taylor-Simpson,Não-Binário,Puro-Sangue,Estudante,Ravenclaw,Lontra,Ar,Fênix,Azul,4,10,8,1,5,4,9,2,6,6,7,8,7,7,3,9,8,5,1,10,2,6,3,10,6,5,1,1,7,4
Stacey Greenwood,Não-Binário,Nascido-Trouxa,Estudante,Ravenclaw,Lobo,Ar,Aranha,Bronze,7,7,9,7,9,8,10,3,9,6,3,9,3,1,3,9,10,7,4,10,7,5,7,6,9,1,1,1,7,5
Julian Lucas,Feminino,Puro-Sangue,Curandeiro(a),Hufflepuff,Serpente,Terra,Pomo,Preto,9,3,5,8,9,10,6,4,1,10,2,6,7,10,9,4,1,3,10,3,9,9,1,4,1,9,10,6,3,5
Francis Thomas,Não-Binário,Mestiço,Auror,Gryffindor,Cervo,Ar,Furão,Vermelho,10,6,8,7,7,4,4,7,3,9,6,7,9,4,9,8,10,6,7,2,6,10,3,7,6,7,5,1,6,6
James George,Feminino,Mestiço,Funcionário(a) do Ministério,Ravenclaw,Urso,Ar,Mini-pufe,Azul,7,7,9,1,10,1,7,6,5,3,7,6,5,8,6,8,7,6,4,8,4,7,1,8,7,7,3,3,9,1
Leigh Thomas,Feminino,Puro-Sangue,Membro da Suprema Corte,Gryffindor,Cisne,Fogo,Pomo,Vermelho,7,7,6,9,5,9,4,9,1,8,7,4,2,5,6,8,2,6,10,6,7,8,3,7,9,2,1,2,5,9
Ms Mandy Walker,Feminino,Mestiço,Professor(a),Hufflepuff,Lobo,Terra,Sapo,Preto,8,1,6,10,7,10,7,3,7,8,3,5,9,7,9,6,5,4,1,9,8,8,4,4,4,9,7,6,8,6
James Thomas,Não-Binário,Mestiço,Lojista,Hufflepuff,Texugo,Terra,Aranha,Amarelo,2,3,2,10,4,7,3,4,6,9,1,4,9,7,8,4,9,6,4,1,10,9,8,6,9,8,8,5,5,7
Elliott Riley,Não-Binário,Nascido-Trouxa,Inominável,Gryffindor,Cervo,Fogo,Fênix,Vermelho,10,6,6,7,5,5,9,8,3,7,8,8,8,1,1,5,1,4,7,1,9,10,5,7,2,9,4,9,2,4
Clive Stephens,Não-Binário,Puro-Sangue,Herbologista,Slytherin,Lobo,Água,Furão,Verde,6,10,7,5,9,3,9,1,8,2,8,7,5,3,8,8,2,10,10,9,4,5,6,6,3,8,1,7,3,5
Dr Jason Hughes,Não-Binário,Puro-Sangue,Funcionário(a) do Ministério,Ravenclaw,Gato,Ar,Cachorro,Azul,6,6,8,1,3,3,7,7,6,2,10,8,4,3,6,10,10,9,3,7,9,4,2,9,9,10,6,3,7,3
Shannon Hale,Masculino,Nascido-Trouxa,Membro da Suprema Corte,Gryffindor,Cavalo,Fogo,Aranha,Vermelho,7,5,7,3,9,10,6,10,2,10,5,2,2,5,10,1,10,4,7,8,9,1,1,7,3,10,10,4,3,7
Dr Ronald Johnson,Masculino,Puro-Sangue,Tratador(a) de Criaturas Mágicas,Gryffindor,Cervo,Fogo,Coruja,Dourado,8,3,6,1,8,5,6,9,2,9,6,3,8,8,5,5,1,4,10,5,10,10,3,9,3,2,3,4,10,2
Andrew Hunt,Não-Binário,Puro-Sangue,Pesquisador(a),Gryffindor,Cervo,Fogo,Sapo,Vermelho,8,4,8,9,8,6,9,9,4,9,5,2,7,5,6,1,2,6,8,2,2,7,5,9,3,3,1,2,2,7
Grace Thomas-Marshall,Masculino,Puro-Sangue,Medibruxo(a),Slytherin,Doninha,Água,Sapo,Verde,8,8,8,6,7,5,9,7,10,5,10,9,5,6,5,1,2,8,10,9,2,1,8,8,2,10,2,8,9,3
Joyce Palmer,Feminino,Nascido-Trouxa,Pocionista,Slytherin,Cão,Água,Sapo,Prata,1,9,8,3,9,3,10,10,1,9,10,9,2,4,3,6,8,9,2,7,3,9,6,8,10,8,1,7,6,2
Dr Sean Donnelly,Masculino,Mestiço,Jornalista,Hufflepuff,Lobo,Fogo,Mini-pufe,Amarelo,6,4,4,8,4,8,1,10,4,9,4,5,10,5,10,2,7,7,1,10,8,7,8,7,4,10,6,4,2,9
Hollie Hutchinson,Não-Binário,Nascido-Trouxa,Jornalista,Hufflepuff,Lebre,Terra,Fênix,Amarelo,5,1,6,10,2,7,10,2,7,8,1,2,10,4,9,3,7,7,8,10,8,10,10,3,2,9,6,5,8,9
Mohammed Barnett,Masculino,Mestiço,Medibruxo(a),Slytherin,Lebre,Água,Pomo,Verde,4,8,2,6,10,4,9,7,5,1,9,10,5,7,5,9,1,9,1,8,4,6,10,10,8,9,1,10,5,3
Dr Brian Patel,Feminino,Puro-Sangue,Desempregado(a),Ravenclaw,Lebre,Ar,Gato,Azul,7,10,9,4,10,8,9,6,9,5,7,6,5,6,3,8,9,5,1,1,4,5,2,8,9,9,4,5,7,5
Declan Allen,Masculino,Mestiço,Pesquisador(a),Gryffindor,Indeterminado,Fogo,Coruja,Vermelho,9,5,7,3,8,3,9,9,3,6,8,2,5,8,9,1,5,4,10,9,1,8,4,9,3,2,3,10,4,4
Abdul Carter,Não-Binário,Mestiço,Jornalista,Ravenclaw,Salmão,Ar,Mini-pufe,Azul,3,2,10,3,3,9,7,10,8,6,7,6,4,2,4,8,9,9,1,1,10,3,9,5,5,10,8,1,10,4
Janice Wright,Masculino,Nascido-Trouxa,Desempregado(a),Hufflepuff,Cavalo,Terra,Mini-pufe,Amarelo,1,4,6,8,4,9,10,1,10,8,4,3,10,9,10,7,9,4,1,9,9,9,4,4,5,9,6,4,3,1
Adrian Butcher,Feminino,Nascido-Trouxa,Lojista,Ravenclaw,Cavalo,Ar,Serpente,Bronze,4,7,9,6,3,7,7,5,5,5,9,6,6,6,6,8,10,6,5,4,9,2,4,2,5,9,10,10,10,5
Phillip Johnson-Foster,Masculino,Nascido-Trouxa,Jogador(a) de Quadribol,Slytherin,Indeterminado,Água,Testrálio,Prata,1,9,6,7,9,3,10,9,9,1,8,8,4,4,3,8,10,8,5,9,3,8,6,7,3,1,2,10,6,3
Douglas Woods-Wilkinson,Não-Binário,Mestiço,Professor(a),Gryffindor,Gato,Ar,Dragão (miniatura),Dourado,10,5,7,6,8,2,5,7,1,8,6,1,2,5,2,5,3,3,9,2,3,1,3,9,7,2,1,4,1,2
Mrs Lynda Knight,Feminino,Puro-Sangue,Lojista,Slytherin,Indeterminado,Água,Rato,Verde,9,9,2,7,9,5,7,9,10,6,10,9,2,9,5,5,3,9,6,6,4,3,10,6,1,9,1,10,5,3
Rita Woods,Masculino,Puro-Sangue,Pesquisador(a),Hufflepuff,Fênix,Terra,Hipogrifo,Preto,6,3,7,9,10,8,9,7,6,10,1,6,7,10,7,8,7,6,1,3,9,8,5,4,10,8,7,2,2,4
Chelsea Chambers,Masculino,Nascido-Trouxa,Fabricante de Varinhas,Ravenclaw,Cão,Ar,Cachorro,Azul,4,8,9,9,8,1,10,4,5,10,6,7,5,7,4,10,6,5,1,10,4,8,6,5,6,10,4,9,8,6
Mrs Pamela Wilson,Feminino,Nascido-Trouxa,Desempregado(a),Slytherin,Doninha,Água,Dragão (miniatura),Verde,2,10,10,5,7,5,4,5,5,3,10,10,5,9,3,2,7,9,6,7,2,7,7,9,10,5,2,8,7,4
Ms Sylvia Parker,Masculino,Mestiço,Professor(a),Hufflepuff,Gato,Terra,Rato,Preto,9,3,9,9,10,8,1,7,8,10,1,6,8,2,10,6,6,4,4,3,9,10,9,3,4,6,6,5,7,9
Donna Edwards-Frost,Não-Binário,Mestiço,Inominável,Slytherin,Urso,Terra,Dragão (miniatura),Verde,9,10,3,5,10,2,7,9,7,2,8,10,2,7,3,4,9,8,6,6,2,9,8,7,5,4,1,9,9,9
Kevin Vincent,Não-Binário,Mestiço,Pocionista,Hufflepuff,Águia,Fogo,Coruja,Amarelo,1,4,6,8,4,8,3,2,7,10,5,3,7,2,8,5,2,3,8,4,9,8,1,5,8,7,10,3,5,6
Judith Warren,Não-Binário,Nascido-Trouxa,Lojista,Gryffindor,Serpente,Ar,Rato,Vermelho,8,7,7,4,7,1,4,7,4,8,6,6,2,4,7,5,3,4,6,4,10,5,1,6,6,9,8,3,4,2
Frank Robinson,Feminino,Puro-Sangue,Jogador(a) de Quadribol,Slytherin,Salmão,Água,Gato,Verde,1,10,10,7,8,5,4,5,3,6,9,8,6,7,10,9,6,9,2,7,4,1,8,9,1,4,3,10,5,2
Joseph Taylor,Masculino,Mestiço,Medibruxo(a),Hufflepuff,Lebre,Terra,Testrálio,Amarelo,7,1,1,8,1,8,7,9,3,8,1,6,7,10,8,2,9,4,2,10,9,8,5,4,2,9,6,2,3,5
Ms Teresa Anderson,Feminino,Nascido-Trouxa,Jornalista,Slytherin,Lebre,Terra,Coruja,Verde,4,10,10,6,9,4,9,8,6,4,9,8,5,4,6,10,6,8,6,8,4,5,7,9,10,10,3,10,10,9
Amelia Smith,Feminino,Nascido-Trouxa,Medibruxo(a),Ravenclaw,Indeterminado,Ar,Dragão (miniatura),Azul,3,4,8,9,7,7,7,1,6,4,7,6,4,3,5,9,7,6,4,4,5,9,9,1,8,7,6,2,7,8
Mr Eric Carter,Feminino,Puro-Sangue,Fabricante de Varinhas,Gryffindor,Urso,Fogo,Gato,Dourado,9,6,7,4,6,8,4,9,4,7,6,2,3,8,10,5,8,6,7,3,1,8,3,6,9,6,4,10,5,1
Sophie Davison,Masculino,Nascido-Trouxa,Lojista,Ravenclaw,Urso,Ar,Amasso (Kneazle),Azul,7,3,9,2,4,5,7,7,9,9,4,9,4,1,5,10,10,6,4,7,6,7,1,8,8,1,10,10,7,5
Mr Abdul Sharp,Feminino,Nascido-Trouxa,Desempregado(a),Hufflepuff,Lontra,Terra,Mini-pufe,Amarelo,1,1,2,8,9,9,9,9,1,10,5,6,10,1,7,9,1,5,8,9,10,7,2,5,8,9,10,3,2,5
Olivia Robinson-White,Masculino,Mestiço,Professor(a),Hufflepuff,Fênix,Terra,Sapo,Amarelo,5,1,7,10,1,7,10,5,9,8,5,4,7,10,7,6,3,5,6,2,9,9,6,4,8,10,8,6,3,4
Dr Jack McLean,Masculino,Puro-Sangue,Funcionário(a) do Ministério,Hufflepuff,Urso,Fogo,Dragão (miniatura),Amarelo,9,2,7,10,8,10,6,10,5,9,2,3,9,8,10,8,6,6,5,10,9,10,7,6,4,9,9,3,7,8
Guy Wilson-Gardner,Não-Binário,Mestiço,Jogador(a) de Quadribol,Slytherin,Urso,Água,Dragão (miniatura),Prata,9,9,10,4,8,2,7,6,7,5,9,10,4,5,9,9,5,8,2,10,2,5,9,6,9,10,1,8,2,4
Marie Woods,Feminino,Mestiço,Auror,Gryffindor,Serpente,Fogo,Coruja,Vermelho,8,7,5,9,6,1,8,9,1,8,4,1,2,4,6,6,10,2,8,10,10,3,5,8,3,8,6,7,4,8
Craig Fox,Masculino,Mestiço,Medibruxo(a),Ravenclaw,Cavalo,Ar,Dragão (miniatura),Bronze,4,3,8,7,5,8,7,9,8,7,2,8,5,4,5,9,8,6,5,7,9,9,5,6,9,5,8,7,8,1
Alan Joyce,Masculino,Mestiço,Jornalista,Hufflepuff,Lebre,Terra,Testrálio,Amarelo,5,2,5,9,2,8,3,8,6,8,1,3,8,4,7,3,10,7,5,1,9,7,4,6,10,9,9,5,4,8
Bradley Turnbull,Não-Binário,Mestiço,Desempregado(a),Slytherin,Fênix,Terra,Hipogrifo,Verde,1,8,4,7,9,5,6,5,4,6,9,10,3,8,8,4,1,9,1,7,3,4,8,6,9,7,1,9,7,6
Joan Burton,Não-Binário,Nascido-Trouxa,Membro da Suprema Corte,Slytherin,Serpente,Terra,Cachorro,Verde,6,10,4,6,9,4,1,9,7,2,8,7,3,3,5,3,1,10,4,9,4,9,7,8,10,4,2,9,3,2
Nicole Walker,Masculino,Puro-Sangue,Herbologista,Slytherin,Urso,Água,Hipogrifo,Verde,7,10,3,6,9,3,7,5,4,6,8,8,3,9,10,9,6,10,10,9,1,10,6,10,4,10,1,7,1,4
Miss Katie West,Masculino,Nascido-Trouxa,Inominável,Hufflepuff,Doninha,Fogo,Gato,Amarelo,3,3,3,10,7,7,4,9,2,10,1,5,9,6,9,9,10,7,6,4,8,10,3,7,3,6,9,2,1,3
Hazel Evans,Feminino,Mestiço,Desempregado(a),Slytherin,Texugo,Água,Furão,Verde,4,10,6,5,10,2,5,1,7,7,10,10,6,8,2,3,7,10,6,6,2,1,8,9,6,6,3,10,2,6
Georgia Morris-Webster,Masculino,Mestiço,Estudante,Ravenclaw,Lontra,Água,Rato,Azul,5,7,9,5,8,10,9,8,9,8,5,6,4,6,3,9,7,8,2,6,8,7,1,8,7,4,4,10,7,4
Grace Smith,Masculino,Puro-Sangue,Fabricante de Varinhas,Gryffindor,Lebre,Fogo,Dragão (miniatura),Vermelho,9,4,7,10,6,8,3,10,4,7,5,5,9,1,9,4,4,3,6,9,6,10,1,9,8,7,4,1,9,3
Robert Norton-Walker,Feminino,Nascido-Trouxa,Lojista,Ravenclaw,Urso,Ar,Fênix,Azul,5,6,9,2,2,2,10,7,5,6,3,7,7,5,4,10,7,5,2,1,3,4,7,7,5,7,6,6,9,2
Elliott Wade,Feminino,Puro-Sangue,Herbologista,Gryffindor,Gato,Fogo,Pomo,Vermelho,7,7,4,8,6,4,4,8,2,9,4,4,5,3,2,7,5,4,6,8,7,8,1,5,9,8,4,1,1,9
Chloe Walker,Feminino,Mestiço,Auror,Slytherin,Lobo,Água,Aranha,Verde,5,9,9,4,7,4,10,10,4,4,8,9,3,3,7,5,9,8,9,6,4,5,10,10,2,6,1,9,5,1
Max Webb,Não-Binário,Nascido-Trouxa,Desempregado(a),Ravenclaw,Gato,Ar,Testrálio,Bronze,5,10,8,3,1,1,9,5,6,9,9,7,6,2,4,9,6,9,5,7,5,3,1,6,9,7,8,5,10,10
Mr Dale Price,Não-Binário,Mestiço,Funcionário(a) do Ministério,Hufflepuff,Doninha,Fogo,Gato,Amarelo,4,2,5,10,2,8,9,5,1,8,4,6,10,5,9,7,3,5,1,9,10,8,5,7,4,10,8,6,2,2
Miss Victoria Hodgson,Masculino,Nascido-Trouxa,Curandeiro(a),Ravenclaw,Texugo,Água,Rato,Bronze,4,8,8,1,2,3,10,8,8,3,7,7,6,5,3,9,9,7,2,6,6,3,9,7,6,6,2,2,7,7
Mrs Janice Campbell,Masculino,Mestiço,Auror,Ravenclaw,Cão,Ar,Pomo,Azul,5,10,10,6,3,10,9,6,8,10,6,6,4,10,5,10,9,5,4,9,5,1,5,8,8,2,1,4,8,1
Mr Antony Mason,Feminino,Nascido-Trouxa,Fabricante de Varinhas,Gryffindor,Gato,Ar,Aranha,Vermelho,8,6,4,10,5,7,9,8,4,8,5,6,3,5,3,2,2,4,10,1,6,6,1,8,8,2,5,5,8,9
Mr Gareth Glover,Feminino,Nascido-Trouxa,Medibruxo(a),Hufflepuff,Cão,Terra,Rato,Preto,3,4,7,10,9,7,2,6,7,10,4,2,10,2,9,1,8,5,10,10,9,10,8,7,8,9,10,2,10,10
Norman Dobson,Não-Binário,Mestiço,Desempregado(a),Slytherin,Cavalo,Água,Dragão (miniatura),Verde,10,9,8,7,10,2,5,10,1,1,9,7,6,3,7,10,5,10,6,9,2,8,6,6,9,6,2,8,10,4
Ms Jane Hewitt,Não-Binário,Puro-Sangue,Estudante,Hufflepuff,Doninha,Fogo,Dragão (miniatura),Preto,8,2,7,8,7,9,10,9,2,10,4,6,8,10,10,1,4,5,7,2,10,10,7,6,9,8,7,3,1,4
Amber Pugh,Masculino,Mestiço,Auror,Slytherin,Indeterminado,Água,Pomo,Verde,10,9,4,5,10,4,1,6,2,9,8,9,3,7,8,2,3,10,6,7,4,2,7,8,4,3,2,7,5,1
Joe Smith,Masculino,Mestiço,Fabricante de Varinhas,Hufflepuff,Serpente,Terra,Amasso (Kneazle),Amarelo,1,3,10,10,5,8,2,8,8,8,4,3,10,5,10,2,3,3,1,1,8,9,1,3,1,7,9,6,3,5
Marie Phillips,Masculino,Mestiço,Jogador(a) de Quadribol,Ravenclaw,Cão,Ar,Testrálio,Bronze,3,8,10,5,5,6,7,5,6,2,1,7,7,6,3,8,9,9,3,8,10,5,5,5,5,10,4,5,7,4
Miss Natalie Parry,Feminino,Puro-Sangue,Desempregado(a),Ravenclaw,Cervo,Ar,Coruja,Azul,4,8,8,6,9,1,8,10,5,8,4,9,4,7,6,8,10,6,2,3,5,2,4,4,6,1,8,9,7,7
